__eos__;118424
-;54
,;72770
:;5122
!;17202
!!;18
!!!;17
!?;10
?;10508
?!;116
???;9
.;96017
'n;30
'ne;34
's;684
…;1980
…!;16
…?;28
›;157
•;54
–;2121
‹;147
(;253
);256
*;44
/;9
&;18
«;37043
»;37289
ächzte;29
äh;72
ähm;8
ähnlich;54
älter;46
ältere;19
älteren;11
ändern;28
ändert;9
ängstlich;72
ärgere;9
ärgerlich;51
ärgern;35
ärgert;33
ärgerte;21
äußerst;13
öffnen;39
öffnet;102
öffnete;165
öffneten;14
öfter;41
Öffnung;17
Äh;63
Ähm;16
Öl;17
Ängstlich;14
Äpfel;50
Äpfeln;10
Öre;15
Örgen;11
Ärger;51
Ärmel;37
Ärmste;8
Ärzte;11
Ärztin;23
Äste;37
Ästen;18
Äuge-Nie;21
übel;34
üben;74
über;1981
überall;130
überaus;7
übereinander;8
überfallen;11
überglücklich;9
überhaupt;380
überlassen;9
überlege;7
überlegen;54
überlegt;142
überlegte;123
übermorgen;13
übernachten;23
überqueren;12
überquert;8
überraschen;8
überraschend;7
überrascht;98
überreden;8
überreicht;11
übers;44
übersehen;9
übersetzt;8
überwinden;7
überzeugen;11
überzeugt;36
übrig;89
übrigen;8
übrigens;48
übt;22
übte;8
übten;8
Üben;9
Über;101
Überall;56
Überhaupt;25
Überleg;8
Überlege;21
Überlegt;12
Überrascht;7
Überraschung;78
Überraschungen;13
Überschrift;10
Übrigens;28
Übung;16
Übungen;10
8;16
1;41
1;55
10;25
10;9
100;24
100000;11
11;10
12;17
12;10
13;16
13;10
14;11
15;8
15;8
150;10
16;12
19;8
1924;25
1975;8
1999;8
2;37
2;70
20;21
200;17
24;12
25;13
3;32
3;47
30;21
3a;12
3b;22
4;18
4;37
40;8
5;23
5;24
50;25
6;16
6;29
7;17
7;14
700;9
75;11
8;15
8;22
A;17
a;20
aß;47
aßen;38
Ab;72
ab;805
ab!;14
Abdrücke;8
Abend;287
Abendbrot;40
Abendessen;49
Abends;39
abends;71
Abenteuer;106
aber;2317
Aber;4167
abgeben;16
abgebildet;13
abgebrochen;7
abgegeben;8
abgehauen;9
abgeholt;8
abgelenkt;13
Abgemacht;13
abgemacht;8
abgenommen;12
abgerissen;7
abgeschlossen;8
abgeschnitten;8
abgeschrieben;8
abgestürzt;9
abgestellt;8
Abgrund;22
Abhang;11
abhauen;10
abholen;28
abholt;7
ablenken;8
abnehmen;7
Abschied;52
abschneiden;7
absetzen;8
Absicht;10
absichtlich;10
absolut;21
abstürzen;8
Abstand;17
Abstieg;8
abwarten;12
abwechselnd;16
Abwechslung;14
abzuholen;20
ach;14
Ach;335
Achseln;35
Acht;19
acht;97
achten;16
achtet;11
Achtung;39
achtzehn;12
achtzig;7
Adala;14
Adele;10
Adelheid;9
Adern;12
Adler;15
Adresse;24
Advent;8
Affe;15
Affen;20
Afrika;28
Agda;49
Agdas;14
Agenten;8
Aggression;9
Aggressionen;23
Ah;38
Aha;45
ahnen;8
ahnt;17
ahnte;19
ahnten;9
Ahnung;104
Aktion;8
albern;17
albernen;7
Alberta;10
Albertina;8
Albertus;26
Albtraum;8
Alev;18
Alex;274
Alex';15
Alfons;28
Alfred;9
Algen;13
Alissa;17
All;14
all;145
alle;1334
Alle;426
Allein;14
allein;365
alleine;102
allem;172
allen;252
aller;88
allerbesten;10
Allerdings;39
allerdings;93
allerhand;7
allerlei;11
allerletzten;8
alles;1121
Alles;186
allmählich;23
Allmählich;9
allzu;17
Alma;16
Als;1184
als;3157
also;321
Also;457
alt;178
Alte;27
alte;270
altem;8
alten;240
Alten;9
Alter;33
alter;63
altes;42
Alwin;10
am;2003
Am;644
amüsiert;7
Amadeus;38
Amanda;23
Ambra;97
Ambras;24
Ameisen;24
Amelie;200
Amelies;11
Amerika;35
Amigo;11
Ammonit;10
Ammoniten;20
Ampel;13
Amsel;9
Amseln;9
Amulett;24
Amun;9
An;230
an;5663
Anblick;27
Andere;21
andere;456
anderem;9
anderen;1101
anderer;76
anderes;176
andermal;8
andern;16
anders;171
Anders;22
Andersson;8
anderswo;7
Andi;9
Andrea;8
Andreas;10
Andrew;15
aneinander;27
anerkennend;12
anfängt;16
Anführer;11
Anfang;78
anfangen;81
Anfangs;11
anfangs;9
anfassen;20
anfing;25
anfingen;9
Angeber;14
angeblich;11
angeboten;8
angebracht;7
angefahren;7
angefangen;49
angeguckt;7
angehört;10
angekommen;55
Angel;32
angelangt;12
angelaufen;19
Angelegenheit;17
angelegt;8
angeln;12
Angelschnur;7
angemalt;7
angenehm;13
angenommen;9
angerannt;20
angerichtet;8
angerufen;31
angesagt;7
angeschaut;7
angesehen;11
angestellt;17
angestrengt;23
angetan;8
angewurzelt;19
angezogen;17
Angriff;17
Angst;512
Angsthase;18
angucken;10
Anhänger;11
anhören;7
anhalten;12
Anita;121
Anitas;7
Anja;23
ankam;23
ankamen;20
Anke;13
Anker;25
ankommen;20
ankommt;11
Ankunft;10
Anlauf;20
anlegen;9
anlocken;9
anmachen;7
anmalen;7
anmerken;12
Anna;555
Annabelle;17
Annalisa;22
Annas;32
Anne;286
annehmen;9
Anneliese;46
Annika;16
anrufen;35
ans;113
ansah;11
anschauen;17
Anscheinend;21
anscheinend;33
anschließend;12
Anschließend;26
ansehen;48
ansieht;9
anstatt;11
ansteckend;10
anstellen;16
anstrengen;12
anstrengend;37
Anstrengung;8
Anteil;8
Anton;73
Antonia;16
Antwort;115
antworte;13
Antworten;19
antworten;44
antwortet;282
antwortete;386
antworteten;10
anziehen;21
Anzug;21
anzuschauen;9
anzusehen;23
anzuziehen;10
Apfel;47
Apfelbaum;15
Apfelsaft;10
Apfelschimmel;10
Apfelsinen;8
Apotheke;10
Apotheker;7
Apparat;14
Appetit;31
Appetithappen;7
appetitlich;7
Applaus;8
April;52
Aquarium;17
Arbeit;155
Arbeiten;17
arbeiten;54
Arbeiter;10
arbeitet;37
arbeitete;13
arbeiteten;9
Arbeitszimmer;16
Arena;12
argwöhnisch;7
arm;12
Arm;322
Armband;7
Armbanduhr;7
Arme;181
arme;41
armen;32
Armen;91
armer;20
Armer;21
armes;8
Art;65
Arten;12
Artgenossen;8
artig;9
Artikel;46
Arzt;45
Asche;8
Aschenbecher;8
Asketo;17
Assilotl;12
Ast;72
Astrid;49
Astronaut;108
Astronauten;34
Aszendenten;10
Ata;65
Atas;8
Atem;92
Atemlos;11
atemlos;25
Athos;8
Atlas;36
Atmen;16
atmen;35
atmet;26
atmete;46
atmeten;8
Au;69
au;8
außen;26
außer;105
Außer;32
Außerdem;180
außerdem;80
außerhalb;16
Aua;32
auch;4243
Auch;445
Auerochsen;8
Auf;704
auf;9560
auf-;10
aufbewahrt;8
aufbleiben;7
aufblitzen;7
aufbrechen;9
Aufbruch;11
aufeinander;24
aufessen;8
aufführen;11
Aufführung;11
auffressen;11
Aufgabe;35
Aufgaben;32
aufgebaut;13
aufgeben;23
aufgebracht;9
aufgefallen;16
aufgefressen;10
aufgegangen;12
aufgegeben;9
aufgegessen;10
aufgehängt;9
aufgehört;19
aufgehen;7
aufgehoben;10
aufgeht;10
aufgelöst;7
aufgeladen;7
aufgelegt;11
aufgemacht;13
aufgenommen;10
aufgepasst;17
aufgeräumt;9
Aufgeregt;19
aufgeregt;245
aufgerissen;15
aufgerissenen;14
aufgeschlossen;8
aufgeschrieben;12
aufgestellt;19
aufgetaucht;11
aufgewacht;15
aufgezogen;9
aufhängen;10
aufhören;34
Aufhören;7
aufhört;11
aufhörte;9
aufhalten;15
aufheben;7
aufmachen;13
aufmacht;8
aufmerksam;34
Aufmerksamkeit;10
aufmunternd;11
aufnehmen;8
aufpassen;58
aufräumen;12
aufräumte;7
aufrecht;14
aufregend;38
Aufregung;75
aufriss;7
aufs;156
aufsagen;7
aufschreiben;9
Aufschrift;7
Aufseher;8
Aufstehen;13
aufstehen;26
aufsteht;7
aufsteigen;10
aufstellen;9
Aufstieg;8
auftauchen;14
auftaucht;12
auftauchte;26
Auftrag;15
auftreten;7
Auftritt;10
Aufwachen;13
aufwachen;8
aufwacht;18
aufwachte;14
aufzunehmen;8
aufzustehen;10
Auge;77
Augen;1015
Augenblick;177
Augenblicke;9
augenblicklich;10
Augenbrauen;23
Augenpaare;7
Augenwinkel;13
Augenwinkeln;7
August;23
Aurelia;7
Aurica;20
Aus;193
aus;4693
Ausbildung;7
Ausbruch;7
ausdenken;17
auseinander;46
Ausflüge;10
Ausflug;55
Ausgang;22
ausgebrochen;7
ausgedacht;36
ausgegangen;9
Ausgehnacht;7
ausgelassen;9
ausgeliehen;8
ausgemacht;7
Ausgerechnet;22
ausgerechnet;31
ausgesehen;13
ausgesetzt;12
ausgesprochen;15
ausgestorben;8
ausgestreckt;9
ausgestreckten;11
ausgesucht;12
ausgezogen;12
ausgiebig;12
aushalten;9
Ausländer;7
auslachen;8
Auslauf;10
ausleihen;17
ausmachen;10
ausnahmsweise;15
ausprobieren;29
ausprobiert;7
Ausrüstung;18
ausrechnen;9
Ausrede;14
ausrichten;11
ausruhen;27
aussah;51
aussahen;18
Ausschau;27
ausschließlich;7
aussehen;44
Aussicht;14
aussieht;53
ausstehen;9
Ausstellung;14
aussuchen;21
auswendig;21
ausziehen;9
auszudenken;8
Auto;165
Autobahn;8
Autofahrer;10
Autor;11
Autorin;12
Autos;53
Autsch;11
Auweia;21
Axel;11
Axt;9
Ayla;26
Aysche;17
Ayse;11
Bäcker;14
Bäh;14
Bälle;12
Bänke;7
Bänken;7
Bär;181
Bären;65
Bärenjagd;9
Bärin;7
Bärtige;12
Bäuche;7
Bäuerin;35
Bäume;117
Bäumen;93
böse;184
bösen;39
böser;17
Böses;12
böses;9
Büchel;9
Bücher;152
Bücherei;13
Büchern;39
bückt;9
bückte;16
Bühne;74
Bündel;10
Bürgermeister;31
Bürgersteig;12
Büro;46
Bürste;24
Bürsten;14
Büsche;28
Büschel;9
Büschen;16
Baadingoo;11
Babette;9
Babsi;10
Baby;84
Baby-Quetzies;10
Babys;29
Bach;54
Backbord;12
Backe;22
Backen;24
backen;36
Backofen;18
backt;7
Bad;47
Baden;10
baden;37
Badewanne;32
Badezimmer;30
Bahnhof;30
Bahnhofsvorsteher;9
Baier;9
Bakterien;7
Baktus;52
balancieren;7
Bald;129
bald;306
Balduin;13
Balken;21
Balkon;33
Ball;182
Ballettlehrerin;9
Ballettsaal;9
Ballon;39
ballte;10
Bammel;11
Banane;8
Bananen;12
band;30
Band;40
Bande;31
Bang;18
Bank;76
Bar;17
Barat;14
Barfuß;7
Barker;10
Baron;33
Bart;96
Barthenfels;15
Basislager;22
basteln;16
bastelt;8
Bastian;18
bat;59
Batman;139
Batmans;10
Batterien;11
Bau;12
Bauch;227
Bauchredner;19
Bauchschmerzen;21
Bauchweh;18
bauen;87
Bauer;58
Bauern;26
Bauernhof;29
Baum;218
baumeln;8
baumelte;11
Baumes;12
Baumhaus;64
Baumstamm;13
Baumstumpf;9
baut;19
baute;17
bauten;15
beäugte;8
beachtet;9
beantworten;18
Beatrix;26
Beben;8
bebte;14
Becher;46
Becken;14
bedanken;17
bedankte;14
bedauernd;8
bedeckt;21
bedeckte;7
bedenken;12
Bedenken;8
bedeuten;44
bedeutet;61
bedeutete;18
bedient;7
Bedingung;7
bedrohlich;10
Beeil;10
beeil;12
beeilen;26
beeilt;8
Beeilt;9
beeindruckt;42
beendet;19
Beeren;21
Beet;11
befördert;8
befürchtet;7
befahl;42
befand;42
befanden;9
Befehl;11
Befehle;8
befestigt;24
befestigte;15
befiehlt;14
befinden;15
befindet;12
befreien;32
befreit;25
befreite;7
befreundet;17
begab;7
begann;266
begannen;45
begegnet;23
begegnete;10
Begegnung;7
begeistert;178
Begeisterung;22
beginnen;43
beginnt;135
begleiten;24
Begleiter;8
begleitet;20
begonnen;11
begrüßen;20
begrüßt;30
begrüßte;16
Begrüßung;15
begreifen;12
begreift;8
begriff;31
Begriff;7
begriffen;10
behält;7
behalten;71
behandeln;8
behandelt;11
beharrte;7
behaupten;13
behauptet;44
behauptete;17
beherrschen;10
behutsam;34
Behutsam;9
bei;1289
Bei;245
beißen;35
Beißen;8
Beißer;9
beißt;53
beibringen;18
beide;231
Beide;45
beiden;779
beides;18
beieinander;9
Beifall;11
beigebracht;11
Beim;116
beim;428
Bein;111
beinah;10
Beinahe;10
beinahe;91
Beinchen;45
Beine;160
Beinen;85
beiseite;20
Beispiel;159
beizubringen;8
bekäme;10
bekümmert;16
bekam;194
bekamen;43
bekannt;31
bekannte;8
bekomme;20
bekommen;281
bekommst;40
bekommt;173
beleidigt;48
Bella;11
bellen;16
Bellen;8
Bello;17
bellt;40
bellte;33
Belohnung;31
bemühte;24
bemerken;13
bemerkt;69
bemerkte;74
Bemerkung;10
Ben;346
benannt;8
Benedetta;112
Benedikt;44
benehmen;12
Benehmen;14
benimmt;12
Benjamin;35
Benni;312
Bennis;8
Benno;20
Bens;29
benutzen;30
benutzt;24
benutzte;13
Benzin;11
beobachten;31
beobachtet;51
beobachtete;46
beobachteten;27
bequem;35
berühmt;14
berühmte;12
berühmten;19
berühren;17
berührt;15
berührte;25
bereit;60
bereiten;10
bereits;140
Berg;126
Berge;60
Bergen;21
Berger;29
Berges;15
Bergsee;21
Bergsteiger;67
Bergsteigern;13
Bericht;12
berichten;15
berichtet;23
berichtete;26
berichteten;8
Berlin;13
Bernhardiner;17
Bernie;23
Berta;10
Berti;7
Beruf;22
Berufe;9
beruhigen;32
beruhigend;16
beruhigt;68
beruhigte;25
besaß;28
besaßen;8
beschäftigen;12
beschäftigt;40
Bescheid;68
Bescherung;8
beschließt;15
beschloss;48
beschlossen;37
beschreiben;12
Beschreibung;8
beschwert;7
beschwerte;20
Besen;64
Besenstiel;10
besetzt;15
besichtigen;7
besiegen;21
besiegt;20
Besitzer;9
besitzt;10
besondere;33
besonderen;19
besonderer;16
besonderes;20
Besonderes;33
besonders;251
Besonders;43
besorgen;18
besorgt;91
besprechen;16
besprochen;10
Besser;26
besser;375
bessere;13
besseren;8
Besseres;27
bestätigt;14
bestätigte;26
bestürzt;22
bestand;33
bestanden;11
Beste;38
beste;96
bestehen;18
besteht;30
bestellt;12
